Attribute	Population_2019
Allegany	70416
Anne Arundel	579234
Baltimore City	593490
Baltimore County	827370
Calvert	92525
Caroline	33406
Carroll	168447
Cecil	102855
Charles	163257
Dorchester	31929
Frederick	259547
Garrett	29014
Harford	255441
Howard	325690
Kent	19422
Montgomery	1050688
Prince George's	909327
Queen Anne's	50381
St. Mary's	113510
Somerset	25616
Talbot	37181
Washington	151049
Wicomico	103609
Worcester	52276
Total	6045680
Female	3113525
Male	2932155
African-American (NH)	1868115
Asian (NH)	405060
White (NH)	3053068
Hispanic	628750
