,"Baltimore County, Maryland","Anne Arundel County, Maryland","Allegany County, Maryland",Maryland,
"Baltimore city, Maryland (County)",,,,,
"Population estimates, July 1, 2019, (V2019)","593,490","827,370","579,234","70,416","6,045,680"
PEOPLE,,,,,
Population,,,,,
"Population estimates, July 1, 2019, (V2019)","593,490","827,370","579,234","70,416","6,045,680"
"Population estimates base, April 1, 2010, (V2019)","620,770","805,324","537,631","75,047","5,773,794"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)",-4.40%,2.70%,7.70%,-6.20%,4.70%
"Population, Census, April 1, 2010","620,961","805,029","537,656","75,087","5,773,552"
Age and Sex,,,,,
"Persons under 5 years, percent",,,,,
,6.30%,5.90%,6.10%,4.50%,6.00%
"Persons under 18 years, percent",,,,,
,20.40%,21.60%,22.20%,17.40%,22.20%
"Persons 65 years and over, percent",,,,,
,14.00%,17.20%,14.70%,20.30%,15.40%
"Female persons, percent",,,,,
,53.10%,52.60%,50.50%,47.90%,51.50%
Race and Hispanic Origin,,,,,
"White alone, percent",,,,,
,31.80%,60.80%,74.20%,88.30%,58.80%
"Black or African American alone, percent(a)",,,,,
,62.80%,29.70%,17.90%,8.20%,30.90%
"American Indian and Alaska Native alone, percent(a)",,,,,
,0.50%,0.40%,0.40%,0.20%,0.60%
"Asian alone, percent(a)",,,,,
,2.80%,6.30%,4.20%,1.20%,6.70%
"Native Hawaiian and Other Pacific Islander alone, percent(a)",,,,,
,0.10%,0.10%,0.10%,0.10%,0.10%
"Two or More Races, percent",,,,,
,2.10%,2.60%,3.20%,2.10%,2.90%
"Hispanic or Latino, percent(b)",,,,,
,5.50%,5.70%,8.10%,1.90%,10.40%
"White alone, not Hispanic or Latino, percent",,,,,
,27.80%,56.60%,67.50%,86.80%,50.50%
Population Characteristics,,,,,
"Veterans, 2014-2018","29,268","44,105","50,635","5,410","372,462"
"Foreign born persons, percent, 2014-2018",8.10%,12.40%,8.30%,2.10%,15.10%
Housing,,,,,
"Housing units, July 1, 2019, (V2019)","293,889","338,291","227,936","32,737","2,470,316"
"Owner-occupied housing unit rate, 2014-2018",47.30%,65.70%,74.30%,68.60%,66.80%
"Median value of owner-occupied housing units, 2014-2018","$156,400 ","$255,400 ","$355,200 ","$119,200 ","$305,500 "
"Median selected monthly owner costs -with a mortgage, 2014-2018","$1,448 ","$1,756 ","$2,141 ","$1,048 ","$1,987 "
"Median selected monthly owner costs -without a mortgage, 2014-2018",$544 ,$575 ,$618 ,$406 ,$617 
"Median gross rent, 2014-2018","$1,051 ","$1,263 ","$1,612 ",$694 ,"$1,357 "
"Building permits, 2019",510,"1,417","2,650",65,"18,491"
Families & Living Arrangements,,,,,
"Households, 2014-2018","238,436","312,913","207,599","27,837","2,192,518"
"Persons per household, 2014-2018",2.48,2.58,2.65,2.3,2.67
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",83.40%,87.60%,85.80%,84.30%,86.20%
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",9.60%,14.40%,11.10%,4.00%,18.40%
Computer and Internet Use,,,,,
"Households with a computer, percent, 2014-2018",84.00%,90.60%,93.60%,80.00%,91.30%
"Households with a broadband Internet subscription, percent, 2014-2018",72.30%,84.80%,89.50%,72.70%,84.60%
Education,,,,,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",84.90%,91.10%,92.10%,90.00%,90.00%
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",31.20%,38.60%,40.90%,18.30%,39.60%
Health,,,,,
