Date_index,Date,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince Georges,Queen Anne's,St. Mary's,Somerset,Talbot,Washington,Wicomico,Worcester,Total
0,3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1,3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
2,3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
3,3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
4,3/9/20,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,8
5,3/10/20,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,9
10,3/15/20,2,1,3,0,0,1,0,1,0,0,2,0,0,12,9,0,0,0,0,0,0,0,31
11,3/16/20,1,1,4,0,0,1,0,1,1,0,2,1,0,15,10,0,0,0,1,0,0,0,38
12,3/17/20,3,1,6,0,0,1,0,1,1,0,2,3,0,24,14,0,0,0,1,0,0,0,57
13,3/18/20,4,4,10,0,0,1,0,2,1,0,3,8,0,31,20,0,0,0,1,0,0,0,85
14,3/19/20,5,8,12,1,0,2,0,2,1,0,3,16,0,33,23,0,0,0,1,0,0,0,107
15,3/20/20,10,11,13,1,0,3,0,2,1,0,5,18,0,51,31,0,0,0,1,0,1,1,149
16,3/21/20,15,15,19,1,0,3,0,4,1,0,5,19,0,68,36,0,0,0,1,0,2,1,190
17,3/22/20,18,24,28,2,1,4,1,5,1,0,5,24,0,83,40,0,1,1,1,1,2,2,244
18,3/23/20,20,31,35,1,1,5,1,5,2,3,5,26,0,94,47,1,1,1,1,2,4,2,288
19,3/24/20,24,41,42,3,1,5,3,5,4,3,5,30,0,107,63,1,2,1,1,2,4,2,349
20,3/25/20,31,53,51,3,1,5,4,8,7,3,5,35,1,127,76,1,2,1,1,2,4,2,423
21,3/26/20,41,72,81,7,1,7,4,10,14,3,9,49,1,164,101,1,4,1,1,2,5,2,580
22,3/27/20,63,88,103,9,1,9,9,17,15,3,18,62,2,208,148,1,4,1,1,5,5,2,774
23,3/28/20,88,112,141,8,1,10,13,21,22,3,21,73,2,255,196,1,8,1,2,6,6,2,992
24,3/29/20,99,129,162,10,3,82,13,28,24,3,23,81,3,301,247,4,9,1,3,6,6,2,1239
25,3/30/20,110,152,186,12,4,82,13,33,26,3,24,96,3,341,294,4,9,1,4,7,6,3,1413
26,3/31/20,127,187,227,15,4,92,14,40,33,3,25,117,3,388,341,4,15,1,3,11,7,3,1660
