Date_index	Date	Hospitalized	Released	Deaths	Neg results	F	M	0-9	19-Oct	20-29	30-39	40-49	50-59	60-69	70-79	80+
0	3/5/20															
1	3/6/20															
2	3/7/20															
3	3/8/20															
4	3/9/20															
5	3/10/20															
10	3/15/20															
11	3/16/20															
12	3/17/20															
13	3/18/20															
14	3/19/20															
15	3/20/20															
16	3/21/20															
17	3/22/20															
18	3/23/20															
19	3/24/20															
20	3/25/20															
21	3/26/20	132	23													
22	3/27/20	173	25					4	11	107	136	161	149	110	75	21
23	3/28/20	226	32	5	11516			5	15	138	174	204	195	143	91	27
24	3/29/20	277	39	10	12354			4	21	165	203	241	243	191	117	54
25	3/30/20	353	43	15	13316	716	697	5	27	188	247	262	274	219	139	52
26	3/31/20	429	53	18	14868	856	804	6	32	215	290	304	335	260	157	61
27	4/1/20	522	69	31	17233	1016	969	6	39	252	345	372	396	309	187	79
28	4/2/20	582	81	36	18890	1194	1137	9	46	286	410	437	471	357	217	98
